i,  1,              2
t,  2425999.72743,  2426030.69444
α,  07 23 06.83,    07 20 47.18
δ,  +21 49 34.3,    +21 56 14.4
X,  +0.54305087,    +0.89564991
Y,  -0.75321583,    -0.38611428
Z,  -0.32669137,    -0.16746119
